,Tidsperiode,Kvalitetsindikator,Måltall,komnr,Verdi,Sektor,Nivå
23,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
24,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1826,41.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
25,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1826,46.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
26,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1826,49.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
27,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1826,52.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
28,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1826,59.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
29,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),5058,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
30,2019,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",5058,4.636,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
31,2018,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",5058,5.479,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
32,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),5058,6.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
33,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),5058,7.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
34,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),5058,7.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
35,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),5058,8.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
36,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),5058,8.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
37,2017,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",5058,13.846,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
38,2021,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",5058,15.541,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
39,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),5058,18.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
40,2020,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",5058,20.886,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
41,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),5058,21.212,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
42,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),5058,23.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
43,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),5058,33.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
44,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),5058,34.783,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
45,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte i risiko som har individuell ernæringsplan (hjemmeboende 67 år og eldre),5058,85.714,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
46,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,5058,130.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
47,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,5058,146.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
48,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,5058,148.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
49,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,5058,151.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
50,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,5058,158.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
69,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),3043,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
70,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),3043,5.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
71,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),3043,6.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
72,2018,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",3043,6.25,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
73,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),3043,8.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
74,2021,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",3043,8.661,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
75,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),3043,11.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
76,2017,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",3043,11.348,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
77,2020,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",3043,11.806,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
78,2019,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",3043,13.699,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
79,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),3043,16.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
80,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),3043,17.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
81,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),3043,20.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
82,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),3043,30.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
83,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),3043,31.25,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
84,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,3043,127.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
85,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,3043,128.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
86,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,3043,141.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
87,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,3043,144.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
88,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,3043,146.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
89,2021,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",1507,14.48,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
90,2020,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",1507,15.32,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
91,2018,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",1507,17.101,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
92,2019,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",1507,19.437,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
93,2017,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",1507,20.104,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
94,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1507,23.985,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
95,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1507,28.395,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
96,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1507,30.275,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
97,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1507,33.803,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
98,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1507,34.276,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
99,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),1507,37.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
100,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),1507,41.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
101,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),1507,44.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
102,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),1507,45.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
103,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte i risiko som har individuell ernæringsplan (hjemmeboende 67 år og eldre),1507,55.224,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
104,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte i risiko som har individuell ernæringsplan (hjemmeboende 67 år og eldre),1507,62.857,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
105,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),1507,64.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
106,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte i risiko som har individuell ernæringsplan (hjemmeboende 67 år og eldre),1507,64.063,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
107,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1507,65.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
108,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1507,66.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
109,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte i risiko som har individuell ernæringsplan (hjemmeboende 67 år og eldre),1507,66.667,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
110,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1507,69.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
111,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1507,72.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
112,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte i risiko som har individuell ernæringsplan (hjemmeboende 67 år og eldre),1507,72.581,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
113,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1507,97.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
114,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),1507,213.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
115,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),1507,218.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
116,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),1507,243.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
117,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),1507,271.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
118,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),1507,283.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
119,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1507,1348.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
120,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1507,1421.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
121,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1507,1423.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
122,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1507,1456.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
123,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1507,1471.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
124,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte i risiko som har individuell ernæringsplan (hjemmeboende 67 år og eldre),1820,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
125,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1820,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
126,2017,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",1820,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
127,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),1820,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
128,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),1820,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
129,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1820,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
130,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),1820,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
131,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte i risiko som har individuell ernæringsplan (hjemmeboende 67 år og eldre),1820,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
132,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1820,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
133,2021,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",1820,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
134,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),1820,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
135,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),1820,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
136,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1820,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
137,2019,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",1820,5.714,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
138,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),1820,6.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
139,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1820,7.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
140,2018,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",1820,15.504,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
141,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),1820,20.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
142,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1820,35.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
143,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1820,105.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
144,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1820,106.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
145,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1820,108.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
146,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1820,119.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
147,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Totalt antall personer (67 år og eldre) som mottar helsetjenester i hjemmet,1820,129.0,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
148,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte i risiko som har individuell ernæringsplan (hjemmeboende 67 år og eldre),5403,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
149,2019,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),5403,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
