,komnr,variable,2015,2016,2017,2018,2019,2020,2021
38,1108,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",35.0,34.0,34.0,42.0,48.0,47.0,54.0
39,1108,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",347.0,349.0,359.0,371.0,366.0,333.0,392.0
40,1108,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",487.0,536.0,556.0,541.0,545.0,540.0,578.0
41,1108,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",384.0,387.0,355.0,379.0,372.0,363.0,418.0
42,1108,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",389.0,406.0,473.0,477.0,435.0,490.0,567.0
43,1108,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",455.0,446.0,422.0,410.0,399.0,428.0,431.0
44,1108,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",91.0,83.0,75.0,80.0,87.0,82.0,90.0
45,1111,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",,,,,,,
46,1111,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",,,,,,,
47,1111,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",,,,,,,
48,1111,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",15.0,17.0,13.0,17.0,11.0,14.0,23.0
49,1111,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",33.0,34.0,36.0,27.0,30.0,33.0,32.0
50,1111,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",35.0,39.0,44.0,46.0,40.0,43.0,45.0
51,1111,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",41.0,41.0,68.0,52.0,53.0,39.0,42.0
52,1111,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",53.0,45.0,53.0,37.0,40.0,30.0,33.0
53,1111,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",,,,,,,
54,1112,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",,,,,,,
55,1112,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",,,,,,,
56,1112,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",,,,,,,
57,1112,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",16.0,21.0,18.0,21.0,22.0,19.0,19.0
58,1112,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",9.0,10.0,10.0,14.0,15.0,15.0,15.0
59,1112,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",32.0,33.0,44.0,35.0,39.0,32.0,34.0
60,1112,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",13.0,20.0,40.0,57.0,49.0,40.0,49.0
61,1112,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",38.0,36.0,35.0,42.0,43.0,31.0,38.0
62,1112,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",,,,,,,
63,1114,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",,,,,,,
64,1114,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",,,,,,,
65,1114,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",,,,,,,
66,1114,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",10.0,6.0,6.0,7.0,7.0,10.0,15.0
67,1114,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",21.0,24.0,24.0,27.0,31.0,24.0,31.0
68,1114,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",13.0,13.0,17.0,18.0,15.0,27.0,18.0
69,1114,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",49.0,50.0,34.0,54.0,51.0,50.0,33.0
70,1114,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",31.0,32.0,26.0,17.0,24.0,21.0,18.0
71,1114,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",,,,,,,
72,1119,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",9.0,,6.0,,,,6.0
73,1119,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",42.0,,39.0,,,,41.0
74,1119,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",6.0,,5.0,,,,10.0
75,1119,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",57.0,54.0,50.0,54.0,50.0,50.0,57.0
76,1119,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",66.0,71.0,76.0,69.0,70.0,73.0,91.0
77,1119,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",96.0,100.0,106.0,110.0,101.0,106.0,117.0
78,1119,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",181.0,177.0,191.0,186.0,209.0,206.0,172.0
79,1119,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",171.0,152.0,149.0,147.0,148.0,155.0,146.0
80,1119,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",15.0,,11.0,,,,16.0
81,1120,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",,8.0,26.0,23.0,26.0,28.0,25.0
82,1120,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",,52.0,58.0,56.0,64.0,58.0,51.0
83,1120,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",,7.0,8.0,11.0,8.0,10.0,10.0
84,1120,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",83.0,67.0,92.0,90.0,98.0,96.0,86.0
85,1120,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",119.0,89.0,108.0,119.0,127.0,133.0,145.0
86,1120,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",77.0,69.0,90.0,113.0,94.0,98.0,90.0
87,1120,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",87.0,120.0,169.0,160.0,171.0,203.0,273.0
88,1120,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",110.0,106.0,102.0,66.0,73.0,85.0,113.0
89,1120,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",,15.0,34.0,34.0,34.0,38.0,35.0
90,1121,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",22.0,21.0,21.0,16.0,13.0,16.0,17.0
91,1121,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",67.0,73.0,81.0,73.0,73.0,75.0,79.0
92,1121,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",13.0,16.0,14.0,12.0,11.0,10.0,13.0
93,1121,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",102.0,110.0,116.0,101.0,97.0,101.0,109.0
94,1121,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",114.0,117.0,116.0,123.0,126.0,113.0,117.0
95,1121,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",116.0,99.0,95.0,93.0,117.0,117.0,134.0
96,1121,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",72.0,87.0,80.0,98.0,108.0,139.0,152.0
97,1121,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",109.0,97.0,97.0,127.0,121.0,109.0,124.0
98,1121,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",35.0,37.0,35.0,28.0,24.0,26.0,30.0
99,1122,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",12.0,19.0,19.0,12.0,16.0,17.0,21.0
100,1122,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",48.0,45.0,47.0,51.0,47.0,45.0,48.0
101,1122,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",6.0,11.0,11.0,13.0,16.0,16.0,13.0
102,1122,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",66.0,75.0,77.0,76.0,79.0,78.0,82.0
103,1122,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",63.0,87.0,83.0,85.0,91.0,116.0,110.0
104,1122,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",51.0,44.0,52.0,54.0,49.0,48.0,56.0
105,1122,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",68.0,70.0,71.0,78.0,87.0,81.0,62.0
106,1122,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",49.0,43.0,40.0,46.0,40.0,47.0,46.0
107,1122,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",18.0,30.0,30.0,25.0,32.0,33.0,34.0
108,1124,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",19.0,17.0,20.0,26.0,21.0,11.0,13.0
109,1124,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",45.0,46.0,48.0,49.0,44.0,48.0,54.0
110,1124,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",13.0,12.0,14.0,9.0,11.0,11.0,21.0
111,1124,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",77.0,75.0,82.0,84.0,76.0,70.0,88.0
112,1124,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",147.0,146.0,159.0,161.0,170.0,181.0,173.0
113,1124,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",122.0,118.0,122.0,143.0,155.0,133.0,148.0
114,1124,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",96.0,111.0,130.0,162.0,182.0,185.0,225.0
115,1124,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",105.0,95.0,97.0,113.0,103.0,116.0,129.0
116,1124,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",32.0,29.0,34.0,35.0,32.0,22.0,34.0
117,1127,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",24.0,11.0,10.0,19.0,14.0,20.0,21.0
118,1127,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",36.0,34.0,29.0,32.0,30.0,36.0,30.0
119,1127,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",12.0,12.0,8.0,13.0,13.0,16.0,13.0
120,1127,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",72.0,57.0,47.0,64.0,57.0,72.0,64.0
121,1127,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",73.0,63.0,60.0,55.0,60.0,56.0,54.0
122,1127,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",67.0,73.0,66.0,64.0,74.0,68.0,77.0
123,1127,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",46.0,65.0,63.0,62.0,60.0,44.0,50.0
124,1127,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",43.0,56.0,57.0,53.0,41.0,45.0,48.0
125,1127,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",36.0,23.0,18.0,32.0,27.0,36.0,34.0
126,1130,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",43.0,40.0,44.0,66.0,53.0,55.0,52.0
127,1130,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",44.0,42.0,46.0,47.0,39.0,47.0,41.0
128,1130,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",11.0,11.0,9.0,16.0,16.0,25.0,27.0
129,1130,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",98.0,93.0,99.0,129.0,108.0,127.0,120.0
130,1130,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",49.0,44.0,53.0,49.0,50.0,52.0,66.0
131,1130,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",115.0,121.0,105.0,100.0,117.0,107.0,103.0
132,1130,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",91.0,91.0,98.0,74.0,95.0,87.0,88.0
133,1130,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",112.0,100.0,108.0,86.0,90.0,70.0,70.0
134,1130,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",54.0,51.0,53.0,82.0,69.0,80.0,79.0
135,1133,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",,,,,,,
136,1133,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",,,,,,,
137,1133,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",,,,,,,
138,1133,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",5.0,8.0,12.0,11.0,9.0,6.0,12.0
139,1133,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",11.0,11.0,14.0,15.0,13.0,10.0,8.0
140,1133,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",40.0,33.0,33.0,40.0,32.0,25.0,25.0
141,1133,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",37.0,38.0,36.0,34.0,31.0,28.0,26.0
142,1133,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",19.0,26.0,28.0,28.0,33.0,25.0,26.0
143,1133,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",,,,,,,
144,1134,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",,,,,,15.0,
145,1134,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",,,,,,13.0,
146,1134,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",,,,,,6.0,
147,1134,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",21.0,19.0,21.0,20.0,18.0,34.0,26.0
148,1134,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",19.0,19.0,27.0,25.0,23.0,29.0,38.0
149,1134,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",50.0,50.0,52.0,53.0,53.0,41.0,40.0
150,1134,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",55.0,29.0,29.0,30.0,28.0,28.0,24.0
151,1134,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",82.0,67.0,54.0,47.0,45.0,53.0,51.0
152,1134,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",,,,,,21.0,
153,1135,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",50.0,42.0,48.0,47.0,48.0,41.0,38.0
154,1135,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",23.0,14.0,26.0,28.0,25.0,28.0,29.0
155,1135,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",16.0,14.0,17.0,20.0,18.0,10.0,15.0
156,1135,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",89.0,70.0,91.0,95.0,91.0,79.0,82.0
157,1135,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",32.0,23.0,31.0,32.0,26.0,30.0,27.0
158,1135,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",53.0,42.0,57.0,62.0,46.0,52.0,47.0
159,1135,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",23.0,24.0,26.0,16.0,20.0,17.0,18.0
160,1135,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",75.0,65.0,62.0,49.0,53.0,41.0,44.0
161,1135,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",66.0,56.0,65.0,67.0,66.0,51.0,53.0
162,1144,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",,,,,,,
163,1144,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",,,,,,,
164,1144,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",,,,,,,
165,1144,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",,,,,,,
166,1144,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",,,,,,,
167,1144,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",,,,,,,
168,1144,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",5.0,,,,,,
169,1144,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",14.0,,,,,,
170,1144,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",,,,,,,
171,1145,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",,,,,,,
172,1145,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",,,,,,,
173,1145,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",,,,,,,
174,1145,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",,,,,,,
175,1145,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",,,,,6.0,5.0,
176,1145,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",,,,,7.0,7.0,
177,1145,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",7.0,12.0,9.0,7.0,8.0,9.0,10.0
178,1145,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",13.0,15.0,14.0,8.0,9.0,7.0,7.0
179,1145,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",,,,,,,
180,1146,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",5.0,9.0,11.0,13.0,18.0,23.0,18.0
181,1146,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",37.0,33.0,37.0,39.0,40.0,42.0,44.0
182,1146,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",8.0,7.0,11.0,11.0,12.0,15.0,12.0
183,1146,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",50.0,49.0,59.0,63.0,70.0,80.0,74.0
184,1146,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",58.0,60.0,54.0,51.0,60.0,65.0,62.0
185,1146,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",59.0,80.0,72.0,70.0,66.0,55.0,66.0
186,1146,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",55.0,49.0,53.0,52.0,52.0,39.0,27.0
187,1146,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",71.0,61.0,75.0,74.0,80.0,61.0,61.0
188,1146,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",13.0,16.0,22.0,24.0,30.0,38.0,30.0
189,1149,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",63.0,65.0,76.0,55.0,63.0,60.0,65.0
190,1149,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",137.0,146.0,167.0,178.0,180.0,197.0,194.0
191,1149,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",31.0,33.0,37.0,36.0,43.0,37.0,36.0
192,1149,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",231.0,244.0,280.0,269.0,286.0,294.0,295.0
193,1149,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",288.0,280.0,266.0,263.0,256.0,263.0,277.0
194,1149,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",291.0,300.0,283.0,341.0,356.0,348.0,339.0
195,1149,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",250.0,190.0,205.0,183.0,183.0,186.0,212.0
196,1149,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",223.0,198.0,213.0,225.0,200.0,211.0,240.0
197,1149,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",94.0,98.0,113.0,91.0,106.0,97.0,101.0
198,1151,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",0.0,,,,,,
199,1151,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",0.0,,,,,,
200,1151,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",0.0,,,,,,
201,1151,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",0.0,,,,,,
202,1151,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",0.0,,,,,,
203,1151,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",0.0,,,,,,
204,1151,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",0.0,,,,,,
205,1151,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",0.0,,,,,,
206,1151,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",0.0,,,,,,
